All OJ,Problem Title,CP4+5,Hint,DACU,Point,Solved
12157,Fetching from uHunt,"1.4o, Medium",LA 4405 - KualaLumpur08; compute and compare the two plans,,0.0,false
12643,Fetching from uHunt,"1.4o, Medium",it has tricky test cases,,0.0,false
basicprogramming1,basicprogramming1,"1.4o, Medium",a nice summative problem for programming examination of a basic programming methodology course,201,4.0,false
battlesimulation,battlesimulation,"1.4o, Medium",one pass; special check on 3! = 6 possible combinations of 3 combo moves,900,2.8,false
bitsequalizer,bitsequalizer,"1.4o, Medium",analyzing patterns; also available at UVa 12545 - Bits Equalizer,174,4.5,false
lc3522,to replace with LeetCode link soon...,"1.4o, Medium",also see Kattis - basicprogramming1,0,4.0,false
lc0058,to replace with LeetCode link soon...,"1.5a, 1D Character Array",split and report as asked; programming-skills; top-interview-150,0,2.0,false
11278,Fetching from uHunt,"1.5b, Cipher, Easier",map QWERTY keys to DVORAK,,0.0,false
12896,Fetching from uHunt,"1.5b, Cipher, Easier",simple cipher; use mapper,,0.0,false
13145,Fetching from uHunt,"1.5b, Cipher, Easier",shift alphabet values by +6 characters to read the problem statement; simple Caesar Cipher problem,,0.0,false
conundrum,conundrum,"1.5b, Cipher, Easier",simple cipher,5240,1.4,false
encodedmessage,encodedmessage,"1.5b, Cipher, Easier",simple 2D grid cipher,2316,1.4,false
lc0006,to replace with LeetCode link soon...,"1.5b, Cipher, Easier",index manipulation; top-interview-150,0,4.0,false
t9spelling,t9spelling,"1.5b, Cipher, Easier",similar to (the reverse of) UVa 12896,2425,1.7,false
00245,Fetching from uHunt,"1.5c, Cipher, Medium",LA 5184 - WorldFinals Nashville95,,0.0,false
11787,Fetching from uHunt,"1.5c, Cipher, Medium",follow the description,,0.0,false
anewalphabet,anewalphabet,"1.5c, Cipher, Medium",simple cipher; 26 characters,4154,1.8,false
lc0443,to replace with LeetCode link soon...,"1.5c, Cipher, Medium",Run-Length Encoding; leetcode-75,0,4.0,false
piglatin,piglatin,"1.5c, Cipher, Medium",simple; check the vowels that include 'y' and process it,916,2.1,false
secretmessage,secretmessage,"1.5c, Cipher, Medium",just do as asked; use 2D grid,2866,1.7,false
tajna,tajna,"1.5c, Cipher, Medium",simple 2D grid cipher,471,2.1,false
01200,Fetching from uHunt,"1.5d, Input Parsing (Iter)",LA 2972 - Tehran03; tokenize input,,0.0,false
10906,Fetching from uHunt,"1.5d, Input Parsing (Iter)",BNF parsing; iterative solution,,0.0,false
11878,Fetching from uHunt,"1.5d, Input Parsing (Iter)",expression parsing,,0.0,false
autori,autori,"1.5d, Input Parsing (Iter)",simple string tokenizer problem,11602,1.2,false
lc1678,to replace with LeetCode link soon...,"1.5d, Input Parsing (Iter)",simple iterative parser,0,2.0,false
pervasiveheartmonitor,pervasiveheartmonitor,"1.5d, Input Parsing (Iter)",simple parsing; then finding average,950,1.7,false
timebomb,timebomb,"1.5d, Input Parsing (Iter)",just a tedious input parsing problem; divisibility by 6,1174,1.8,false
00488,Fetching from uHunt,"1.5e, Output Formatting, E",use several loops,,0.0,false
01605,Fetching from uHunt,"1.5e, Output Formatting, E",LA 4044 - NortheasternEurope07; we can answer this problem with just h=2 levels,,0.0,false
12364,Fetching from uHunt,"1.5e, Output Formatting, E",2D array check; check all possible digits [0..9],,0.0,false
display,display,"1.5e, Output Formatting, E",unordered_map; map a digit -> enlarged 7x5 version,635,2.5,false
lc1324,to replace with LeetCode link soon...,"1.5e, Output Formatting, E",use 2D grid buffer,0,4.0,false
musicalnotation,musicalnotation,"1.5e, Output Formatting, E",simple but tedious,421,2.0,false
skener,skener,"1.5e, Output Formatting, E",enlarging 2D character array,2067,1.5,false
lc1455,to replace with LeetCode link soon...,"1.5f, Easy, Involving String",tokenize and check,0,2.0,false
lc1880,to replace with LeetCode link soon...,"1.5f, Easy, Involving String",create function toInt(s); compare,0,2.0,false
lc1945,to replace with LeetCode link soon...,"1.5f, Easy, Involving String",use sum-of-digits function,0,2.0,false
ptice,ptice,"1.5f, Easy, Involving String",just a simple simulation,2100,1.5,false
sevenwonders,sevenwonders,"1.5f, Easy, Involving String",one pass,4776,1.4,false
yinyangstones,yinyangstones,"1.5f, Easy, Involving String",trick question; just check if number of whites equals to number of blacks,1365,1.8,false
attemptedalphabet,attemptedalphabet,"1.5g, Basic String Matching",just search for all 26 lowercase alphabets,326,1.5,false
blackthorn,blackthorn,"1.5g, Basic String Matching",simple string search,702,1.3,false
eclips,eclips,"1.5g, Basic String Matching",tokenize and check existence of 'e',287,1.4,false
gettingwood,gettingwood,"1.5g, Basic String Matching",search for 'tree',625,1.3,false
searchwizard,searchwizard,"1.5g, Basic String Matching",multiple basic string matchings,263,1.6,false
10388,Fetching from uHunt,"1.6a, Game (Card)",card simulation; uses random number to determine moves; need data structure to maintain the face-up and face-down cards,,0.0,false
12247,Fetching from uHunt,"1.6a, Game (Card)",This is a starred problem; refer to CP3/4 book,,0.0,false
bela,bela,"1.6a, Game (Card)",simple card scoring problem,3731,1.3,false
lc2347,to replace with LeetCode link soon...,"1.6a, Game (Card)",apply the poker hand rules as described,0,2.0,false
memorymatch,memorymatch,"1.6a, Game (Card)",interesting simulation game; many corner cases,161,4.0,false
pokerhand,pokerhand,"1.6a, Game (Card)",frequency count; report max,2173,1.4,false
shuffling,shuffling,"1.6a, Game (Card)",simulate card shuffling operation,218,2.8,false
00255,Fetching from uHunt,"1.6b, Game (Chess)",check the validity of chess moves,,0.0,false
00278,Fetching from uHunt,"1.6b, Game (Chess)",basic chess knowledge is needed; derive the closed form formulas,,0.0,false
00696,Fetching from uHunt,"1.6b, Game (Chess)",ad hoc; chess,,0.0,false
10284,Fetching from uHunt,"1.6b, Game (Chess)",FEN = Forsyth-Edwards Notation is a standard notation for describing board positions in a chess game,,0.0,false
chess,chess,"1.6b, Game (Chess)","bishop movements; either impossible, 0, 1, or 2 ways - one of this can be invalid; just use brute force",856,2.9,false
empleh,empleh,"1.6b, Game (Chess)",the reverse problem of Kattis - helpme,245,1.8,false
helpme,helpme,"1.6b, Game (Chess)",convert the given chess board into chess notation,302,2.4,false
lc0999,to replace with LeetCode link soon...,"1.6b, Game (Chess)","find the (r, c) of rook 'R'; simulate 4 directions of rook attacks",0,2.0,false
00947,Fetching from uHunt,"1.6c, Game (Others), Easier",similar to UVa 340,,0.0,false
10189,Fetching from uHunt,"1.6c, Game (Others), Easier",simulate the classic Minesweeper game; similar to UVa 10279,,0.0,false
11459,Fetching from uHunt,"1.6c, Game (Others), Easier",simulate it; similar to UVa 647,,0.0,false
connectthedots,connectthedots,"1.6c, Game (Others), Easier",classic children game; output formatting,213,3.6,false
gamerank,gamerank,"1.6c, Game (Others), Easier",simulate the ranking update process,732,3.9,false
guessinggame,guessinggame,"1.6c, Game (Others), Easier",use a 1D flag array; also available at UVa 10530 - Guessing Game,684,2.7,false
lc3248,to replace with LeetCode link soon...,"1.6c, Game (Others), Easier",simulating the movement of snake grid game,0,2.0,false
00584,Fetching from uHunt,"1.6d, Game (Others), Harder",simulation; games; reading comprehension,,0.0,false
10813,Fetching from uHunt,"1.6d, Game (Others), Harder",follow the problem description,,0.0,false
battleship,battleship,"1.6d, Game (Others), Harder",simulation; reading comprehension; many corner cases,120,5.4,false
lc1275,to replace with LeetCode link soon...,"1.6d, Game (Others), Harder",just simulate; programming-skills,0,2.0,false
rockpaperscissors,rockpaperscissors,"1.6d, Game (Others), Harder",count wins and losses; output win average; also available at UVa 10903 - Rock-Paper-Scissors ...,820,3.7,false
tictactoe2,tictactoe2,"1.6d, Game (Others), Harder",check validity of Tic Tac Toe game; tricky; also available at UVa 10363 - Tic Tac Toe,167,5.3,false
turtlemaster,turtlemaster,"1.6d, Game (Others), Harder",interesting board game to teach programming for children; simulation,323,2.9,false
00637,Fetching from uHunt,"1.6e, Real Life, Easier",application in printer driver software,,0.0,false
13151,Fetching from uHunt,"1.6e, Real Life, Easier",marking programming exam; ad hoc; straightforward,,0.0,false
chopin,chopin,"1.6e, Real Life, Easier",you can learn a bit of music with this problem,823,1.8,false
compass,compass,"1.6e, Real Life, Easier",your typical smartphone's compass function usually has this small feature,1529,2.0,false
fizzbuzz,fizzbuzz,"1.6e, Real Life, Easier",actually just about easy divisibility properties,10274,1.3,true
lc0657,to replace with LeetCode link soon...,"1.6e, Real Life, Easier",simple robot movement simulation on a virtual 2D grid; programming-skills,0,2.0,false
trainpassengers,trainpassengers,"1.6e, Real Life, Easier",create a verifier; be careful of corner cases,1807,2.1,false
wertyu,wertyu,"1.6e, Real Life, Easier",use 2D mapper array to simplify the problem; also available at UVa 10082 - WERTYU,768,2.9,false
10528,Fetching from uHunt,"1.6f, Real Life, Medium",music knowledge in problem description,,0.0,false
11736,Fetching from uHunt,"1.6f, Real Life, Medium",this is a (simplified) introduction to Computer Organization on how computer stores data in memory,,0.0,false
beatspread,beatspread,"1.6f, Real Life, Medium",be careful with boundary cases!; also available at UVa 10812 - Beat the Spread,980,2.4,false
lc1041,to replace with LeetCode link soon...,"1.6f, Real Life, Medium",virtual 2D grid traversal; simple observations; programming-skills,0,4.0,false
luhnchecksum,luhnchecksum,"1.6f, Real Life, Medium",very similar (~95%) to UVa 11743,836,1.6,false
toilet,toilet,"1.6f, Real Life, Medium",simulation; be careful of corner cases,1756,2.4,false
wordcloud,wordcloud,"1.6f, Real Life, Medium",just a simulation; but be careful of corner cases,322,2.4,false
00706,Fetching from uHunt,"1.6g, Real Life, Harder",like in old digital display,,0.0,false
01061,Fetching from uHunt,"1.6g, Real Life, Harder",LA 3736 - WorldFinals Tokyo07; try all eight possible blood + Rh types with the information given,,0.0,false
01091,Fetching from uHunt,"1.6g, Real Life, Harder",LA 4786 - WorldFinals Harbin10; tedious simulation and reading comprehension,,0.0,false
creditcard,creditcard,"1.6g, Real Life, Harder",real life issue; precision error issue if we do not convert double (with just 2 digits after decimal point) into long lo...,123,6.3,false
lc2299,to replace with LeetCode link soon...,"1.6g, Real Life, Harder",we frequently do this in real-life,0,2.0,false
tenis,tenis,"1.6g, Real Life, Harder",Tennis scoring rules; tricky test cases; be careful,78,5.0,false
00579,Fetching from uHunt,"1.6h, Time, Easier",be careful with corner cases,,0.0,false
12148,Fetching from uHunt,"1.6h, Time, Easier",easy with Gregorian Calendar; use method 'add' to add one day to previous date and see if it is the same as the current ...,,0.0,false
friday,friday,"1.6h, Time, Easier",the answer depends on the start day of the month,1059,1.9,false
justaminute,justaminute,"1.6h, Time, Easier",linear pass; total seconds/(total minutes*60),1512,1.7,false
lc1154,to replace with LeetCode link soon...,"1.6h, Time, Easier",use Python datetime library,0,2.0,false
marswindow,marswindow,"1.6h, Time, Easier",simple advancing of year and month by 26 months or 2 years+2 months each; direct formula exists,830,2.0,false
savingdaylight,savingdaylight,"1.6h, Time, Easier",convert hh:mm to minute; compute difference of ending and starting; then convert minute to hh:mm again,986,2.1,false
11947,Fetching from uHunt,"1.6i, Time, Harder",easier with Java GregorianCalendar,,0.0,false
12822,Fetching from uHunt,"1.6i, Time, Harder",convert hh:mm:ss to second to simplify the problem; then this is just a tedious simulation problem,,0.0,false
bestbefore,bestbefore,"1.6i, Time, Harder",tedious; 3! = 6 possibilities to check,148,4.0,false
birthdayboy,birthdayboy,"1.6i, Time, Harder",convert mm-dd into [0..364]; use DAT; find largest gap via brute force,108,4.6,false
natrij,natrij,"1.6i, Time, Harder",convert hh:mm:ss to seconds; make sure the second time is larger than the first time; corner case: 24:00:00,1136,2.6,false
timezones,timezones,"1.6i, Time, Harder","follow the description, tedious; also available at UVa 10371 - Time Zones",67,5.3,false
00185,Fetching from uHunt,"1.6j, Roman Numerals",also involving backtracking,,0.0,false
00344,Fetching from uHunt,"1.6j, Roman Numerals",count Roman chars used in [1..N],,0.0,false
00759,Fetching from uHunt,"1.6j, Roman Numerals",validation problem,,0.0,false
12397,Fetching from uHunt,"1.6j, Roman Numerals",each Roman digit has a value,,0.0,false
lc0013,to replace with LeetCode link soon...,"1.6j, Roman Numerals",classic; programming-skills; top-interview-150,0,2.0,false
rimski,rimski,"1.6j, Roman Numerals",to Roman/to Decimal conversion problem; use next permutation to be sure,118,4.5,false
romanholidays,romanholidays,"1.6j, Roman Numerals",generate and sort the first 1K Roman strings; ''M'' is at index 945; append prefix 'M' for numbers larger than 1K,92,3.6,false
11638,Fetching from uHunt,"1.6k, Time Waster, Easier",simulation; needs to use bitmask for parameter C,,0.0,false
12085,Fetching from uHunt,"1.6k, Time Waster, Easier",LA 2189 - Dhaka06; watch out for PE,,0.0,false
12608,Fetching from uHunt,"1.6k, Time Waster, Easier",simulation with several corner cases,,0.0,false
asciiaddition,asciiaddition,"1.6k, Time Waster, Easier",a+b problem in text format,509,1.9,false
glitchbot,glitchbot,"1.6k, Time Waster, Easier",O(n^2) simulation; only output one answer,1036,2.0,false
pachydermpeanutpacking,pachydermpeanutpacking,"1.6k, Time Waster, Easier",time waster; simple one loop simulation,322,1.9,false
printingcosts,printingcosts,"1.6k, Time Waster, Easier",clear time waster; the hard part is in parsing the costs of each character in the problem description,705,2.2,false
00405,Fetching from uHunt,"1.6l, Time Waster, Harder",simulation,,0.0,false
10188,Fetching from uHunt,"1.6l, Time Waster, Harder",simulation,,0.0,false
11717,Fetching from uHunt,"1.6l, Time Waster, Harder",tricky simulation,,0.0,false
12280,Fetching from uHunt,"1.6l, Time Waster, Harder",a tedious problem,,0.0,false
froggie,froggie,"1.6l, Time Waster, Harder",just a simulation; but many corner cases; S can be 0,296,6.8,false
functionalfun,functionalfun,"1.6l, Time Waster, Harder",just follow the description; 5 cases; tedious parsing problem; requires a kind of mapper,487,1.9,false
windows,windows,"1.6l, Time Waster, Harder",LA 7162 - WorldFinals Marrakech15; tedious simulation problem; also available at UVa 01721 - Window Manager,92,7.6,false
12150,Fetching from uHunt,"2.2a, 1D Array, Medium",simple manipulation,,0.0,false
12356,Fetching from uHunt,"2.2a, 1D Array, Medium",similar to deletion in doubly linked lists but we can still use a 1D array for the underlying data structure,,0.0,false
downtime,downtime,"2.2a, 1D Array, Medium",1D array; use Fenwick Tree-like operation for Range Update Point Query,1068,3.2,false
fluortanten,fluortanten,"2.2a, 1D Array, Medium",remove Bjorn first; then do O(n) pass to check where is Bjorn's optimal position,181,3.1,false
greedilyincreasing,greedilyincreasing,"2.2a, 1D Array, Medium",just 1D array manipulation; this is not the DP-LIS problem,1151,1.9,false
jollyjumpers,jollyjumpers,"2.2a, 1D Array, Medium",1D Boolean flags to check [1..n-1]; also available at UVa 10038 - Jolly Jumpers,413,3.4,false
lc0088,to replace with LeetCode link soon...,"2.2a, 1D Array, Medium",do merge of Merge sort; top-interview-150,0,2.0,false
lc0605,to replace with LeetCode link soon...,"2.2a, 1D Array, Medium",tricky 1D array processing; leetcode-75,0,2.0,false
10978,Fetching from uHunt,"2.2c, 1D Array, Harder",1D string array,,0.0,false
12662,Fetching from uHunt,"2.2c, 1D Array, Harder",1D array manipulation; brute force,,0.0,false
13048,Fetching from uHunt,"2.2c, 1D Array, Harder",use 1D Boolean array; simulate,,0.0,false
divideby100,divideby100,"2.2c, 1D Array, Harder",big 1D character array processing; be careful,557,4.2,false
lc0238,to replace with LeetCode link soon...,"2.2c, 1D Array, Harder",use prefix and suffix products; leetcode-75; top-100-liked; top-interview-150,0,4.0,false
lc1869,to replace with LeetCode link soon...,"2.2c, 1D Array, Harder",split s using 0 as delimiter; take token with the max length; do the same but using 1 as delimiter; compare,0,2.0,false
mastermind,mastermind,"2.2c, 1D Array, Harder",1D array manipulation to count r and s,446,2.4,false
pivot,pivot,"2.2c, 1D Array, Harder",static range min/max query problem; special condition allows this problem to be solvable in O(n) using help of 1D arrays,1723,3.2,false
11581,Fetching from uHunt,"2.2d, 2D Array, Medium",simulate the process,,0.0,false
12667,Fetching from uHunt,"2.2d, 2D Array, Medium",use both 1D and 2D arrays to store submission status,,0.0,false
epigdanceoff,epigdanceoff,"2.2d, 2D Array, Medium",count number of CCs on 2D grid; simpler solution exists: count the number of blank columns plus one,505,1.9,false
flowshop,flowshop,"2.2d, 2D Array, Medium",interesting 2D array manipulation,392,2.5,false
imageprocessing,imageprocessing,"2.2d, 2D Array, Medium",interesting 2D array manipulation,344,2.1,false
lc0027,to replace with LeetCode link soon...,"2.2d, 2D Array, Medium",use Partition algorithm (two pointers) for in-place solution; top-interview-150,0,2.0,false
lc1351,to replace with LeetCode link soon...,"2.2d, 2D Array, Medium","go row by row; right to left, O(m+n)",0,2.0,true
nineknights,nineknights,"2.2d, 2D Array, Medium",2D array checks; 8 directions,881,1.9,false
00466,Fetching from uHunt,"2.2e, 2D Array, Harder",core functions: rotate and reflect,,0.0,false
12291,Fetching from uHunt,"2.2e, 2D Array, Harder",do as asked; a bit tedious,,0.0,false
2048,2048,"2.2e, 2D Array, Harder",just a 2D array manipulation problem; utilize symmetry using 90 degrees rotation(s) to reduce 4 cases into 1,3150,2.1,false
flagquiz,flagquiz,"2.2e, 2D Array, Harder",array of array of strings; be careful; duplicates may exists,167,3.7,false
funhouse,funhouse,"2.2e, 2D Array, Harder",2D array manipulation; note the direction update,700,2.0,false
lc0054,to replace with LeetCode link soon...,"2.2e, 2D Array, Harder",heavy 2D matrix indexing; use dr/dc technique; programming-skills; top-100-liked; top-interview-150,0,4.0,false
rings2,rings2,"2.2e, 2D Array, Harder",more challenging 2D array manipulation; special output formatting style,385,3.8,false
10107,Fetching from uHunt,"2.2f, Sorting, Easier",find median of a growing/dynamic list of integers; we can use multiple calls of nth_element in algorithm,,0.0,false
12709,Fetching from uHunt,"2.2f, Sorting, Easier",LA 6650 - Dhaka13; although the problem has a complicated story; it has a very easy solution with sort routine,,0.0,false
basicprogramming2,basicprogramming2,"2.2f, Sorting, Easier",a nice problem about basic sorting applications,189,3.4,false
height,height,"2.2f, Sorting, Easier",insertion sort simulation,899,2.0,false
lc0217,to replace with LeetCode link soon...,"2.2f, Sorting, Easier",sort; check adjacent integers,0,2.0,false
lc1657,to replace with LeetCode link soon...,"2.2f, Sorting, Easier",check if set of chars and its sorted frequency signatures are the same; leetcode-75,0,4.0,true
mjehuric,mjehuric,"2.2f, Sorting, Easier",a direct simulation of a bubble sort algorithm,1349,1.6,false
sidewayssorting,sidewayssorting,"2.2f, Sorting, Easier",stable_sort or sort multi-fields of columns of a 2D array; ignore case,857,2.0,false
lc0219,to replace with LeetCode link soon...,"2.2g, Sorting, Simple Greedy","sort (keep the original indices as pair (v, i)); check successive elements; top-interview-150",0,2.0,false
lc1502,to replace with LeetCode link soon...,"2.2g, Sorting, Simple Greedy",sort; check gap of successive elements; programming-skills,0,2.0,true
lc1637,to replace with LeetCode link soon...,"2.2g, Sorting, Simple Greedy",sort; remove duplicate x-s; check successive elements,0,2.0,false
lc1984,to replace with LeetCode link soon...,"2.2g, Sorting, Simple Greedy",sort; check elements that are k indices apart,0,2.0,false
lc2342,to replace with LeetCode link soon...,"2.2g, Sorting, Simple Greedy","sum-of-digits function; sort by (sod(n), n); check successive elements",0,4.0,false
lc2465,to replace with LeetCode link soon...,"2.2g, Sorting, Simple Greedy",sort; two pointers: smallest and largest,0,2.0,false
lc2500,to replace with LeetCode link soon...,"2.2g, Sorting, Simple Greedy",sort each row; process per column,0,2.0,false
01610,Fetching from uHunt,"2.2h, Sorting, Harder",LA 6196 - MidAtlanticUSA12; median,,0.0,false
11321,Fetching from uHunt,"2.2h, Sorting, Harder",be careful with negative mod!,,0.0,false
classy,classy,"2.2h, Sorting, Harder",sort using modified comparison function; a bit of string parsing/tokenization,1633,4.5,false
dyslectionary,dyslectionary,"2.2h, Sorting, Harder",sort the reverse of original string; output formatting,775,3.4,false
lc0001,to replace with LeetCode link soon...,"2.2h, Sorting, Harder",classic; O(n log n) solution: sort + two pointers; or hashing; top-100-liked; top-interview-150,0,2.0,false
musicyourway,musicyourway,"2.2h, Sorting, Harder",stable_sort; custom comparison function,404,2.4,false
sortofsorting,sortofsorting,"2.2h, Sorting, Harder",stable_sort or sort multi-fields,2667,2.2,false
11462,Fetching from uHunt,"2.2i, Special Sorting",standard Counting Sort problem,,0.0,false
11495,Fetching from uHunt,"2.2i, Special Sorting",requires O(n log n) merge sort,,0.0,false
13212,Fetching from uHunt,"2.2i, Special Sorting",requires O(n log n) merge sort,,0.0,false
bread,bread,"2.2i, Special Sorting",inversion count; hard to derive,249,5.0,false
lc1122,to replace with LeetCode link soon...,"2.2i, Special Sorting",counting sort variant using arr2 order,0,2.0,false
mali,mali,"2.2i, Special Sorting",Counting Sort two arrays; greedy matching largest+smallest at that point,97,5.1,false
